Time,num_cumulative_hospitalizations
342.25,358283
342.5,358283
342.75,358283
343,358283
343.25,358283
343.5,358283
343.75,358283
344,358283
344.25,358283
344.5,358283
344.75,358283
345,358283
345.25,358283
345.5,358283
345.75,358283
346,358283
346.25,358283
346.5,358283
346.75,358283
347,358283
347.25,358283
347.5,358283
347.75,358283
348,358283
348.25,358283
348.5,358283
348.75,358283
349,358283
349.25,358283
349.5,358283
349.75,358283
350,358283
350.25,358283
350.5,358283
350.75,358283
351,358283
351.25,358283
351.5,358283
351.75,358283
352,358283
352.25,358283
352.5,358283
352.75,358283
353,358283
353.25,358283
353.5,358283
353.75,358283
354,358283
354.25,358283
354.5,358283
354.75,358283
355,358283
355.25,358283
355.5,358283
355.75,358283
356,358283
356.25,358283
356.5,358283
356.75,358283
357,358283
357.25,358283
357.5,358283
357.75,358283
358,358283
358.25,358283
358.5,358283
358.75,358283
359,358283
359.25,358283
359.5,358283
359.75,358283
360,358283
360.25,358283
360.5,358283
360.75,358283
361,358283
361.25,358283
361.5,358283
361.75,358283
362,358283
362.25,358283
362.5,358283
362.75,358283
363,358283
363.25,358283
363.5,358283
363.75,358283
364,358283
364.25,358283
364.5,358283
364.75,358283
